PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
INSTITUT PERTANIAN BOGOR	Aceh	307	0.5
INSTITUT PERTANIAN BOGOR	Bali	85	0.1
INSTITUT PERTANIAN BOGOR	Banten	5886	9.2
INSTITUT PERTANIAN BOGOR	Bengkulu	305	0.5
INSTITUT PERTANIAN BOGOR	DI Yogyakarta	294	0.5
INSTITUT PERTANIAN BOGOR	DKI Jakarta	9015	14.1
INSTITUT PERTANIAN BOGOR	Gorontalo	34	0.1
INSTITUT PERTANIAN BOGOR	Jambi	380	0.6
INSTITUT PERTANIAN BOGOR	Jawa Barat	34266	53.5
INSTITUT PERTANIAN BOGOR	Jawa Tengah	2537	4
INSTITUT PERTANIAN BOGOR	Jawa Timur	1236	1.9
INSTITUT PERTANIAN BOGOR	Kalimantan Barat	197	0.3
INSTITUT PERTANIAN BOGOR	Kalimantan Selatan	147	0.2
INSTITUT PERTANIAN BOGOR	Kalimantan Tengah	114	0.2
INSTITUT PERTANIAN BOGOR	Kalimantan Timur	194	0.3
INSTITUT PERTANIAN BOGOR	Kalimantan Utara	25	0
INSTITUT PERTANIAN BOGOR	Kepulauan Bangka Belitung	267	0.4
INSTITUT PERTANIAN BOGOR	Kepulauan Riau	281	0.4
INSTITUT PERTANIAN BOGOR	Lampung	1003	1.6
INSTITUT PERTANIAN BOGOR	Maluku	35	0.1
INSTITUT PERTANIAN BOGOR	Maluku Utara	42	0.1
INSTITUT PERTANIAN BOGOR	Nusa Tenggara Barat	179	0.3
INSTITUT PERTANIAN BOGOR	Nusa Tenggara Timur	84	0.1
INSTITUT PERTANIAN BOGOR	Papua	69	0.1
INSTITUT PERTANIAN BOGOR	Papua Barat	41	0.1
INSTITUT PERTANIAN BOGOR	Riau	1037	1.6
INSTITUT PERTANIAN BOGOR	Sulawesi Barat	25	0
INSTITUT PERTANIAN BOGOR	Sulawesi Selatan	371	0.6
INSTITUT PERTANIAN BOGOR	Sulawesi Tengah	68	0.1
INSTITUT PERTANIAN BOGOR	Sulawesi Tenggara	90	0.1
INSTITUT PERTANIAN BOGOR	Sulawesi Utara	49	0.1
INSTITUT PERTANIAN BOGOR	Sumatera Barat	1826	2.9
INSTITUT PERTANIAN BOGOR	Sumatera Selatan	790	1.2
INSTITUT PERTANIAN BOGOR	Sumatera Utara	2744	4.3
INSTITUT TEKNOLOGI BANDUNG	Aceh	316	1
INSTITUT TEKNOLOGI BANDUNG	Bali	213	0.7
INSTITUT TEKNOLOGI BANDUNG	Banten	2150	6.6
INSTITUT TEKNOLOGI BANDUNG	Bengkulu	171	0.5
INSTITUT TEKNOLOGI BANDUNG	DI Yogyakarta	446	1.4
INSTITUT TEKNOLOGI BANDUNG	DKI Jakarta	3285	10.1
INSTITUT TEKNOLOGI BANDUNG	Gorontalo	50	0.2
INSTITUT TEKNOLOGI BANDUNG	Jambi	306	0.9
INSTITUT TEKNOLOGI BANDUNG	Jawa Barat	13653	42.1
INSTITUT TEKNOLOGI BANDUNG	Jawa Tengah	2220	6.8
INSTITUT TEKNOLOGI BANDUNG	Jawa Timur	1829	5.6
INSTITUT TEKNOLOGI BANDUNG	Kalimantan Barat	213	0.7
